gene,log2fc,pval,neg_log10_pval
'CBLC',2.108875099384988,2.2492576176629942e-42,41.64796080000142
'NUP37',2.0993540640841877,7.748378810820418e-45,44.11078915519255
'ALG1L',2.0985682901394767,1.4852965557525038e-46,45.82818682603121
'SPINK6',2.0921014184698503,6.374892584843433e-11,10.195527128572875
'TK1',2.0880663481780934,4.465212843456695e-38,37.350157834751776
'BLMH',2.0848823862480854,6.207061417943995e-41,40.20711395731443
'MAD2L1',2.0769633734387596,2.5157446910287837e-25,24.59933343512798
'PKP1',2.0700853032740834,4.5075337962027e-99,98.3460610083772
'MAGEA6',2.069050929609127,9.609804770402124e-30,29.0172854352241
'CTPS1',2.028808599775426,1.79791144455746e-45,44.74523170308508
'REEP4',2.0224462178043874,3.8696513535966693e-53,52.412328162120616
'MCM2',2.0221104790390516,1.4990946372551663e-34,33.824170949446355
'UBE2C',2.0062508221736843,8.559985756819226e-15,14.06752695795602
'CXCR7',2.0019055150590486,2.0179798149475969e-44,43.695083182152985
'ZWINT',1.998217738005439,1.0865579172227673e-22,21.963947119357382
'CDKN3',1.9841941711031645,4.486123438977072e-21,20.34812878065741
'RNASEH2A',1.9814336744479357,6.273768128968908e-32,31.202471536350767
'CECR5',1.9712640516691329,7.931515243478889e-44,43.10064383676572
'FADS2',1.9402463331525945,3.441977227355057e-21,20.46319200735731
'FEN1',1.9296719250479157,2.2254782587631696e-24,23.652576644088853
'LOC344887',1.912325984808506,4.4097132086821374e-21,20.355589654508787
'ATIC',1.9106996943709338,2.0124065792365204e-41,40.696284271488686
'WDR12',1.906270819268643,4.3377985165796945e-43,42.36273062409909
'GSTA4',1.9015655110567964,9.278070669974763e-37,36.03254232383459
'GPX2',1.8986094055893683,3.42174939250257e-31,30.46575180117679
'BAK1',1.8963421915387861,1.415342384716765e-41,40.849138487485085
'GJB5',1.8953914496300504,5.740046779436018e-41,40.241084568234754
'PTDSS1',1.8918761814168537,4.225721956684758e-55,54.374099081976105
'MYH11',1.8870531945294653,1.1704417455076944e-16,15.931650196861968
'MVD',1.8778970590973705,1.635700184867828e-30,29.78629629723559
'TRIM16',1.8746329945808766,3.4280203738239394e-45,44.46495660558985
'TOP1MT',1.8610970343355433,6.408079964583601e-36,35.193272077454296
'PTGR1',1.860564784751759,5.668971994028251e-49,48.24649568851424
'POR',1.8498063312567983,1.2355471578181985e-43,42.9081406739856
'ALDOC',1.8453285095243022,1.9162862861633804e-18,17.717539608403023
'DHCR7',1.8417437335290514,1.0670902261262517e-31,30.97179885794
'GPR87',1.8405715486018976,1.866864114838543e-46,45.72888729229383
'SLC7A5',1.8323562819945414,4.8894245839425826e-59,58.310742248181654
'ACOT7',1.8306175029189462,8.353801296508173e-38,37.07811585907525
'NIF3L1',1.8282778564801485,7.048440663935687e-24,23.151906951938077
'LAD1',1.8247125248676088,1.2465150934453466e-71,70.9043024584676
'RPL39L',1.8233886265117198,4.7677628622462987e-23,22.321685353557044
'CYP4F11',1.819437509054663,1.1346260944251799e-16,15.945147232639334
'SQLE',1.8184008150008437,1.708556478072939e-60,59.76737066058192
'NUDT1',1.8093546007396644,3.1462533922589094e-36,35.502206303191365
'CRABP2',1.8055178469633433,6.22516333598492e-24,23.2058492490537
'KLK8',1.8043997802753193,2.4791978228751454e-44,43.605688818147335
'RBP1',1.8037314686560688,1.5304042825336794e-67,66.81519382769186
'USB1',1.8019801679113276,3.818291059790748e-46,45.418130969383135
'GMPS',1.7991510081684596,1.9236932358973522e-52,51.71586418207938
'WDR54',1.7990900409020458,1.773986694898779e-34,33.7510496417499
'NQO1',1.793072879358844,2.5647530406307966e-50,49.59095444663591
'HPRT1',1.787121843000668,6.683911423493387e-43,42.17496931409626
'SLC20A2',1.775531467938366,1.137388292191939e-51,50.94409124650991
'PLTP',1.7687976927683766,1.057840272508488e-42,41.97557990319407
'GGH',1.7560304144993701,5.578054449894559e-41,40.2535172507058
'CCNB1',1.7542990475624618,6.420711830862699e-20,19.19241682129587
'ALDH3A1',1.7508617480076751,3.842106296060902e-31,30.41543062407763
'RFC4',1.743204718030797,2.7469262897550473e-24,23.561152994158665
'DERA',1.7249320675179303,5.881875630343041e-54,53.23048416269647
'PHF5A',1.7178591407933534,1.742039524297147e-37,36.75894199571789
'RHOD',1.7110607921291616,1.2499673883719551e-26,25.903101317579832
'SAE1',1.7109016002902946,1.1296167415851803e-50,49.947068879744656
'CCDC51',1.709521628778313,2.8718819325576995e-22,21.541833418570643
'MSRB1',1.6968130934559669,1.5958190513443657e-36,35.797016354500215
'PRPF4',1.6967501948477046,8.391473975563914e-28,27.07616174796393
'PFN2',1.6932993702990797,1.2298655706837923e-52,51.910142356122236
'THOC3',1.692142923233585,8.06772141972406e-65,64.0932491064887
'USP5',1.6894802826432593,1.0438523264905915e-48,47.98136093651244
'MCM5',1.689420883271179,2.442227607976162e-30,29.61221386361729
'BZW2',1.6851039554185216,1.2162324285495273e-44,43.91498342112368
'GJB3',1.6834128224290035,2.1433327474917856e-39,38.66891040050203
'AMTN',1.6794834006504775,8.17225593680407e-07,6.087658040693385
'ECI2',1.6780203263940878,5.3349319591932975e-30,29.272871115121486
'C19orf48',1.6746055210064628,4.347793827392589e-51,50.361731058364185
'RUVBL1',1.6676119825292621,1.7826392773403489e-43,42.74893652878753
'SCD',1.667588054805909,3.797232597746435e-50,49.42053279953551
'CSN3',1.666670167788807,1.0020323581143795e-05,4.9991182537945065
'KLK10',1.6621758141777678,2.2329215576212285e-32,31.65112653339548
'XPOT',1.6598747143088834,1.017180129156777e-49,48.99260213245411
'MRPS35',1.6589948278803326,1.9685954884508198e-45,44.70584351452806
'NIPSNAP1',1.6537144376628072,2.3711818168416746e-40,39.625035144029546
'TRIT1',1.647668044875542,1.9738316294721554e-19,18.704689895997582
'RAB38',1.6429175019905107,2.245452449393881e-30,29.648696137298884
'NSDHL',1.6413744560142034,1.2856363970965939e-28,27.890881840947223
'FGFBP1',1.6392837660858242,9.708932512267006e-33,32.0128285177251
'SMYD3',1.638647365513266,1.107029681072328e-28,27.955840734899848
'PRPSAP2',1.6374382926154702,1.4134078101197552e-34,33.8497325132176
'LTBP1',1.635843296250356,1.6332991298720344e-26,25.786934269301376
